name,totalCash,ebitda,totalDebt,totalRevenue,totalEsg
ANSS,517635008,672422976,885523968,1995762048,13.05
MAR,546000000,2952999936,9836000256,4538999808,21.89
CSGP,4774465024,611323008,1022953024,2115840000,26.68
ON,1826400000,2814799872,3493700096,7618200064,26.51
ANET,2901902080,1193032960,51793000,3502113024,16.4
CMXHF,10436400128,3324900096,9657799680,10561899520,24.44
SYK,1127000064,4547999744,13852000256,17628999680,28.52
ZTS,2752000000,3251000064,6757000192,7994999808,18.47
BSX,276000000,3343000064,9329000448,12567000064,26.33
HCA,999000000,11973000192,39472001024,59799998464,28.24
HUM,18190000128,4871000064,13221999616,90511998976,22.37
BDX,2572000000,5456000000,16364999680,20074999808,26.74
MCK,2232999936,3384999936,7432000000,268446007296,15.17
IQV,1360999936,2760000000,12652999680,14307000320,19.24
CNC,17178000384,6576000000,21564000256,133307998208,20.83
A,1076999936,1922000000,3072999936,6658999808,15.33
EW,1515800064,1782300032,682800000,5354999808,19.39
ABC,3034233088,3580100096,7357447168,236325273600,12.32
RMD,273710016,1124349952,917550016,3578127104,26.41
ZBH,427500000,2431200000,6152999936,7916499968,27.3
CAH,4717000192,2356000000,5848000000,181363998720,12.28
LH,1068800000,3480100096,6371200000,15715200000,19.04
WAT,419793984,998001984,1570210048,2900572928,17.01
BMRN,1273767936,109156000,1082033024,2008311040,26.02
DGX,700000000,2304000000,4640000000,10293999616,20.9
COO,246300000,901900032,3132999936,3219399936,19.5
INCY,2722425088,797299008,43562000,3320472064,23.8
PKI,360860000,1728636032,4671483904,5020020224,18.36
BIO,1855682944,659187968,1197720064,2804730112,16.87
UTHR,2255200000,939100032,800000000,1788700032,25.96
SNNUF,516000000,1196000000,2892999936,5213000192,25.02
QGEN,1311017984,855550976,1935522048,2261046016,15.51
HSIC,108000000,1086736000,1208000000,12718020608,13.48
UHS,74571000,1653912960,5167391232,13227640832,32.9
CCL,7071000064,-2585999872,35285999616,9617000448,23.69
T,2423000064,52962000896,152491999232,155318992896,22.07
RIG,729000000,867000000,7223000064,2524999936,24.83
LUMN,360000000,7418999808,28521000960,19022000128,24.01
ET,353000000,11392000000,48951001088,81757003776,49.15
GOLD,5779999744,6193999872,5144000000,11847999488,34.87
FCX,8577999872,10014000128,10689999872,23185999872,31.94
GM,30311000064,17329000448,112607002624,147210993664,30.89
TAL,2892135936,45649000,177922000,3230009088,15.55
SQ,4959463936,-159262000,5283556864,16288405504,18.77
HBI,247922000,942000000,4132909056,6631522816,14.51
M,300000000,2929999872,6002999808,25926000640,16.81
CSX,2399000064,7272999936,18050000896,14549999616,20.09
MRO,1166000000,4760000000,4131000064,7125000192,42.05
KMI,525000000,6028000256,32163000320,19046000640,18.55
DAL,8368000000,4472000000,31936000000,46617001984,26.13
UAA,1049412992,665966976,1455105024,5683466240,16.32
DVN,3300000000,8915000320,6745999872,17478000640,34.64
SLB,3608999936,5407000064,13351000064,26438000640,21.93
CTRA,1059000000,5171999744,3420000000,7347999744,46.16
NEM,4358000128,4039000064,6173000192,12366000128,20.33
UAL,18695000064,3088999936,38376001536,40746999808,30.1
HAL,1976999936,3545999872,8954000384,18992001024,23.8
HPE,2777999872,4655000064,13953999872,27978999808,11.94
LTM.SN,1133627008,-21524000,11801578496,7309112832,22.57
