name,totalCash,ebitda,totalDebt,totalRevenue,totalEsg
TER,776056000,1052740992,133742000,3308254976,15.86
SPLK,1743393024,-643564992,4075521024,3038704128,17.81
PTC,322326016,490766016,1619920000,1906077056,19.11
FLT,1426759936,1622040064,6875653120,3208250880,17.85
LDOS,339000000,1468000000,5792999936,14065000448,11.5
TRMB,350100000,781800000,1408499968,3762299904,12.98
SSNC,438300000,1805100032,7546100224,5182300160,22.22
DOX,850273024,873958976,859897984,4497502208,12.61
FLEX,2647000064,1486899968,4594999808,27046000640,5.97
QRVO,858790976,1461730048,2047908992,4570720768,29.08
OTEX,1700040960,995235008,4474641920,3493843968,17.05
ARW,225596000,2149995008,3482537984,36063436800,9.94
DXC,2208999936,2963000064,5865999872,15831000064,16.08
IPGP,1234653056,448113984,38645000,1490619008,11.59
AVT,80881000,1202244992,2590033920,25476145152,10.24
NCR,434000000,1140000000,6074999808,7869000192,20.36
SRE,1931000064,4922999808,26318000128,14224000000,24.72
AWK,96000000,1930000000,11708000256,3822000128,27.76
PEG,2207000064,2815000064,21162999808,9347999744,28.46
EIX,122000000,5534000128,31054000128,16606000128,27.43
WEC,30300000,3054200064,15326900224,8984399872,27.52
ES,29540000,3367395072,21423339520,10958657536,19.05
ETR,579889024,3589326080,26850797568,12349111296,29.8
AES,1670000000,3312999936,21376000000,11736000512,34.15
AEE,7000000,2760999936,14611000320,6672000000,29.44
CNP,1251000064,2563000064,15031000064,8769999872,25.56
PPL,336000000,2584999936,13713999872,6474999808,33.84
ATO,497392992,1433204992,7960593920,4047418112,34.79
BEP,909000000,2896000000,23441999872,4474999808,16.15
NI,77800000,1819600000,10122000384,5424500224,29.58
PNW,29189000,1636349952,8618126336,3952311040,31.06
WTRG,12976000,928808000,6275765248,2045577984,26.12
UGI,670000000,2740000000,6721999872,9610000384,34.0
NRG,580000000,6167000064,8314999808,28832999424,31.62
